date,rebalance_date,regime_state_at_rebalance,equity_return,cash_return,portfolio_return,transaction_cost,net_return,nav,benchmark_return,benchmark_nav,equity_exposure,cash_weight,vol_scale,loss_protection_scale,regime_state,is_oos
2023-12-12,2023-11-30,Risk-On,0.009879742018415096,0.00010257936507936508,0.014199851884971106,0.0,0.014199851884971106,1.6014708633635117,0.0021489390647888,0.9977908740708488,1.4372695014205483,0.0,1.4372695014205483,1.0,Risk-On,True
2023-12-13,2023-11-30,Risk-On,-0.008236123279611238,0.00010289682539682539,-0.011837528799725015,0.0,-0.011837528799725015,1.5825134058965258,-0.0166913592640136,0.9811363881213782,1.4372695014205483,0.0,1.4372695014205483,1.0,Risk-On,True
2023-12-14,2023-11-30,Risk-On,-0.002225381587971995,0.00010305555555555556,-0.0031984730854149775,0.0,-0.0031984730854149775,1.5774517793604574,-0.0052353614147652,0.9759997845323853,1.4372695014205483,0.0,1.4372695014205483,1.0,Risk-On,True
2023-12-15,2023-11-30,Risk-On,-0.004560917557767437,0.0001032142857142857,-0.006555267704272629,0.0,-0.006555267704272629,1.5671111606561685,-0.0031062983703374,0.9729680379922427,1.4372695014205483,0.0,1.4372695014205483,1.0,Risk-On,True
2023-12-18,2023-11-30,Risk-On,-0.004050748234658848,0.0001032936507936508,-0.005822016895608288,0.0,-0.005822016895608288,1.557987413001532,-0.0036468087565426,0.9694198096314566,1.4372695014205483,0.0,1.4372695014205483,1.0,Risk-On,True
2023-12-19,2023-11-30,Risk-On,-0.00326123138657743,0.0001032142857142857,-0.004687268409003186,0.0,-0.004687268409003186,1.5506847078189454,0.0014043215498977,0.9707811867610199,1.4372695014205483,0.0,1.4372695014205483,1.0,Risk-On,True
2023-12-20,2023-11-30,Risk-On,-0.002988932205366188,0.0001032142857142857,-0.004295901100586481,0.0,-0.004295901100586481,1.5440231196759633,-0.0109593726676203,0.9601420339565911,1.4372695014205483,0.0,1.4372695014205483,1.0,Risk-On,True
2023-12-21,2023-11-30,Risk-On,0.001440460411087683,0.00010333333333333334,0.002070329816860032,0.0,0.002070329816860032,1.5472197567785497,0.0101190531427091,0.9698577622227467,1.4372695014205483,0.0,1.4372695014205483,1.0,Risk-On,True
2023-12-22,2023-11-30,Risk-On,0.0022872311348506,0.00010333333333333334,0.0032873675528202768,0.0,0.0032873675528202768,1.552306036804066,0.0019089007922195,0.9717091244733939,1.4372695014205483,0.0,1.4372695014205483,1.0,Risk-On,True
2023-12-25,2023-11-30,Risk-On,-0.0015205390971466182,0.0001032142857142857,-0.002185424470046371,0.0,-0.002185424470046371,1.5489135892062338,0.0030632308292022,0.9746856938204979,1.4372695014205483,0.0,1.4372695014205483,1.0,Risk-On,True
2023-12-26,2023-11-30,Risk-On,-0.0028983852887896557,0.00010317460317460319,-0.0041657607789433605,0.0,-0.0041657607789433605,1.5424611857263462,-0.0067695095025743,0.9680875497541568,1.4372695014205483,0.0,1.4372695014205483,1.0,Risk-On,True
2023-12-27,2023-11-30,Risk-On,0.003929696189434675,0.00010277777777777778,0.005648032482923004,0.0,0.005648032482923004,1.5511730566069764,0.0034790165105755,0.9714555423234341,1.4372695014205483,0.0,1.4372695014205483,1.0,Risk-On,True
2023-12-28,2023-11-30,Risk-On,0.007984746975389192,0.00010142857142857143,0.011476233304286855,0.0,0.011476233304286855,1.5689746804999216,0.0234336719101899,0.9942203127775772,1.4372695014205483,0.0,1.4372695014205483,1.0,Risk-On,True
2023-12-29,2023-11-30,Risk-On,0.0016328799466489973,0.0001003968253968254,0.002346888546799816,0.0,0.002346888546799816,1.5726568892078059,0.0048526590826882,0.9990449250085705,1.4372695014205483,0.0,1.4372695014205483,1.0,Risk-On,True
2024-01-02,2023-12-29,Risk-On,0.0012693749393087339,9.722222222222223e-05,0.0019040624089631008,0.00047822872436075327,0.0014258336846023475,1.5748992363747603,-0.0130446710552757,0.986012712592391,1.5,0.0,1.5,1.0,Risk-On,True
2024-01-03,2023-12-29,Risk-On,0.008131544302223688,9.615079365079365e-05,0.012197316453335532,0.0,0.012197316453335532,1.5941087807429397,-0.0023786952816071,0.9836672888053429,1.5,0.0,1.5,1.0,Risk-On,True
2024-01-04,2023-12-29,Risk-On,-0.0007401935510125845,9.519841269841271e-05,-0.0011102903265188767,0.0,-0.0011102903265188767,1.592338857184262,-0.0092488017113709,0.9745695451012205,1.5,0.0,1.5,1.0,Risk-On,True
2024-01-05,2023-12-29,Risk-On,0.0020247827322123157,9.507936507936507e-05,0.0030371740983184733,0.0,0.0030371740983184733,1.597175067517048,-0.0053600901736838,0.969345764458952,1.5,0.0,1.5,1.0,Risk-On,True
2024-01-08,2023-12-29,Risk-On,-0.010624974236565948,9.507936507936507e-05,-0.01593746135484892,0.0,-0.01593746135484892,1.5717201516015666,-0.0129328805278188,0.9568093314970572,1.5,0.0,1.5,1.0,Risk-On,True
2024-01-09,2023-12-29,Risk-On,0.005485882475974538,9.511904761904762e-05,0.008228823713961806,0.0,0.008228823713961806,1.5846535596567772,0.0019607088910587,0.9586853560603714,1.5,0.0,1.5,1.0,Risk-On,True
2024-01-10,2023-12-29,Risk-On,-0.004445948388093197,9.523809523809524e-05,-0.0066689225821397954,0.0,-0.0066689225821397954,1.5740856277479138,-0.0046683076084995,0.9542099179185177,1.5,0.0,1.5,1.0,Risk-On,True
2024-01-11,2023-12-29,Risk-On,-0.0021265448294123823,9.523809523809524e-05,-0.0031898172441185736,0.0,-0.0031898172441185736,1.5690645822688043,0.0056582148581882,0.9596090426539149,1.5,0.0,1.5,1.0,Risk-On,True
2024-01-12,2023-12-29,Risk-On,0.006006563187439254,9.523809523809524e-05,0.00900984478115888,0.0,0.00900984478115888,1.58320161060666,-0.0034909423775431,0.9562591027810408,1.5,0.0,1.5,1.0,Risk-On,True
2024-01-15,2023-12-29,Risk-On,0.0045067345306767015,9.523809523809524e-05,0.006760101796015052,0.0,0.006760101796015052,1.593904214657976,-0.0009887439635754,0.9553136073655519,1.5,0.0,1.5,1.0,Risk-On,True
2024-01-16,2023-12-29,Risk-On,0.005099628752534557,9.527777777777776e-05,0.007649443128801836,0.0,0.007649443128801836,1.60609669430076,0.0060826545729024,0.96112445004795,1.5,0.0,1.5,1.0,Risk-On,True
2024-01-17,2023-12-29,Risk-On,-0.01434924274394819,9.531746031746032e-05,-0.021523864115922282,0.0,-0.021523864115922282,1.5715272872955983,-0.0217500432157983,0.9402199517236467,1.5,0.0,1.5,1.0,Risk-On,True
2024-01-18,2023-12-29,Risk-On,-0.005232733298752903,9.523809523809524e-05,-0.007849099948129355,0.0,-0.007849099948129355,1.5591922125464026,0.014136091929533,0.9535109873951932,1.5,0.0,1.5,1.0,Risk-On,True
