ts_code,avg_weight,observations,rank,size_group
601155.SH,0.21837837837837837,37,146,Medium
600109.SH,0.21572916666666667,48,147,Medium
601618.SH,0.2143125,48,148,Medium
000793.SZ,0.214,23,149,Medium
002252.SZ,0.2139375,48,150,Medium
600867.SH,0.2131111111111111,36,151,Medium
002460.SZ,0.212,25,152,Medium
601111.SH,0.2119791666666667,48,153,Medium
601800.SH,0.21195833333333333,48,154,Medium
600804.SH,0.21185714285714285,35,155,Medium
600068.SH,0.2118125,48,156,Medium
600100.SH,0.21164583333333334,48,157,Medium
000413.SZ,0.21052083333333335,48,158,Medium
000839.SZ,0.20883333333333332,36,159,Medium
600177.SH,0.2083125,48,160,Medium
300024.SZ,0.2075,48,161,Medium
600522.SH,0.20729032258064517,31,162,Medium
000009.SZ,0.20573913043478262,23,163,Medium
300017.SZ,0.20064583333333333,48,164,Medium
000157.SZ,0.19952083333333334,48,165,Medium
000876.SZ,0.1995,48,166,Medium
600739.SH,0.19936585365853657,41,167,Medium
600588.SH,0.1993541666666667,48,168,Medium
600606.SH,0.19932558139534884,43,169,Medium
002311.SZ,0.1992307692307692,13,170,Medium
603799.SH,0.19824000000000003,25,171,Medium
000728.SZ,0.19675,48,172,Medium
601919.SH,0.19608333333333336,48,173,Medium
002465.SZ,0.196,29,174,Medium
300072.SZ,0.19541666666666668,36,175,Medium
000623.SZ,0.19540000000000002,35,176,Medium
600315.SH,0.19519999999999998,5,177,Medium
600023.SH,0.1935,48,178,Medium
600649.SH,0.19317241379310346,29,179,Medium
601018.SH,0.1925625,48,180,Medium
000540.SZ,0.19022857142857144,35,181,Medium
600516.SH,0.18736842105263157,19,182,Medium
600018.SH,0.18700000000000003,48,183,Medium
300408.SZ,0.1860526315789474,19,184,Medium
600438.SH,0.18510526315789474,19,185,Medium
000046.SZ,0.18436363636363637,11,186,Medium
002007.SZ,0.18427083333333336,48,187,Medium
300027.SZ,0.18425714285714284,35,188,Medium
600674.SH,0.18397916666666667,48,189,Medium
601998.SH,0.18385416666666665,48,190,Medium
600176.SH,0.18336842105263157,19,191,Medium
002001.SZ,0.18046153846153848,13,192,Medium
603501.SH,0.18,1,193,Medium
600150.SH,0.1787391304347826,23,194,Medium
603993.SH,0.177875,48,195,Medium
600718.SH,0.17682608695652174,23,196,Medium
300122.SZ,0.17564,25,197,Medium
002422.SZ,0.17429166666666665,24,198,Medium
000917.SZ,0.17378260869565218,23,199,Medium
600839.SH,0.1731764705882353,17,200,Medium
603019.SH,0.173,7,201,Medium
600183.SH,0.173,1,202,Medium
600153.SH,0.1724375,48,203,Medium
300315.SZ,0.17106896551724138,29,204,Medium
600085.SH,0.17010416666666664,48,205,Medium
601198.SH,0.16956249999999998,48,206,Medium
601106.SH,0.16872727272727273,11,207,Medium
002065.SZ,0.1676382978723404,47,208,Medium
600332.SH,0.16635416666666666,48,209,Medium
600489.SH,0.1638125,48,210,Medium
000060.SZ,0.16219999999999998,35,211,Medium
000425.SZ,0.16210416666666666,48,212,Medium
600816.SH,0.1620232558139535,43,213,Medium
000750.SZ,0.16162068965517243,29,214,Medium
002081.SZ,0.16089583333333332,48,215,Medium
000686.SZ,0.15875862068965518,29,216,Medium
600369.SH,0.15766666666666665,48,217,Medium
600415.SH,0.15731914893617022,47,218,Medium
600820.SH,0.15702857142857143,35,219,Medium
300058.SZ,0.15688235294117647,17,220,Medium
600642.SH,0.15636363636363637,11,221,Medium
600398.SH,0.1548,30,222,Medium
002271.SZ,0.1546923076923077,13,223,Medium
000630.SZ,0.15385416666666665,48,224,Medium
600873.SH,0.1517058823529412,17,225,Medium
600157.SH,0.1516829268292683,41,226,Medium
601098.SH,0.15163636363636362,11,227,Medium
600118.SH,0.15095833333333333,48,228,Medium
002179.SZ,0.15076923076923077,13,229,Medium
600498.SH,0.15005405405405406,37,230,Medium
002410.SZ,0.15,12,231,Medium
600208.SH,0.14983333333333335,48,232,Medium
601138.SH,0.149,13,233,Medium
300144.SZ,0.14772916666666666,48,234,Medium
002183.SZ,0.1477222222222222,18,235,Medium
600663.SH,0.14766666666666667,42,236,Medium
600005.SH,0.1473076923076923,13,237,Medium
002310.SZ,0.14697222222222223,36,238,Medium
600362.SH,0.14683333333333334,48,239,Medium
600256.SH,0.14617391304347827,23,240,Medium
600219.SH,0.14608000000000002,25,241,Medium
601333.SH,0.1460731707317073,41,242,Medium
601997.SH,0.1458709677419355,31,243,Medium
000826.SZ,0.14568292682926828,41,244,Medium
002500.SZ,0.14497142857142856,35,245,Medium
002572.SZ,0.14494444444444443,18,246,Medium
603986.SH,0.14461538461538462,13,247,Medium
000559.SZ,0.14368571428571428,35,248,Medium
600252.SH,0.14352941176470588,17,249,Medium
000792.SZ,0.14300000000000002,41,250,Medium
600170.SH,0.14139583333333333,48,251,Medium
600061.SH,0.13993023255813955,43,252,Medium
000709.SZ,0.13960416666666667,48,253,Medium
600654.SH,0.13949999999999999,6,254,Medium
600004.SH,0.13892307692307693,13,255,Medium
600583.SH,0.1388125,48,256,Medium
300168.SZ,0.1383888888888889,18,257,Medium
601877.SH,0.1378918918918919,37,258,Medium
600875.SH,0.1375294117647059,17,259,Medium
002385.SZ,0.1375142857142857,35,260,Medium
600895.SH,0.13731034482758622,29,261,Medium
600060.SH,0.13717391304347826,23,262,Medium
600482.SH,0.13664864864864865,37,263,Medium
000977.SZ,0.1363888888888889,18,264,Medium
000786.SZ,0.13626315789473684,19,265,Medium
002508.SZ,0.136,31,266,Medium
600809.SH,0.1355263157894737,19,267,Medium
601258.SH,0.135,17,268,Medium
002146.SZ,0.13499999999999998,48,269,Medium
600297.SH,0.13408108108108108,37,270,Medium
000831.SZ,0.133,5,271,Medium
000703.SZ,0.13246153846153846,13,272,Medium
300002.SZ,0.13194117647058823,17,273,Medium
002352.SZ,0.13183870967741934,31,274,Medium
002050.SZ,0.13178947368421054,19,275,Medium
002493.SZ,0.13152631578947369,19,276,Medium
603899.SH,0.13,1,277,Medium
601179.SH,0.12881818181818183,11,278,Medium
002038.SZ,0.1288,5,279,Medium
600027.SH,0.12816666666666668,24,280,Medium
000778.SZ,0.12776470588235295,17,281,Medium
601992.SH,0.12776190476190474,42,282,Medium
002085.SZ,0.12766666666666668,18,283,Medium
002074.SZ,0.12504166666666666,24,284,Medium
000629.SZ,0.12483333333333334,12,285,Medium
000983.SZ,0.12465714285714287,35,286,Medium
600446.SH,0.1246111111111111,18,287,Medium
000039.SZ,0.1241764705882353,17,288,Medium
300033.SZ,0.12364864864864865,37,289,Medium
002129.SZ,0.12323529411764707,17,290,Medium
002426.SZ,0.12155555555555557,18,291,Medium
000729.SZ,0.12154545454545454,11,292,Medium
002292.SZ,0.12031034482758621,29,293,Medium
000598.SZ,0.1202,5,294,Medium
002470.SZ,0.12014285714285715,35,295,Medium
000402.SZ,0.12006382978723404,47,296,Medium
600346.SH,0.1196842105263158,19,297,Medium
601117.SH,0.11909523809523809,42,298,Medium
601866.SH,0.11848571428571429,35,299,Medium
603259.SH,0.11800000000000001,13,300,Medium
601216.SH,0.1176875,48,301,Small
600682.SH,0.11627777777777777,18,302,Small
600688.SH,0.11570212765957447,47,303,Small
601633.SH,0.11543750000000001,48,304,Small
002049.SZ,0.11541666666666667,12,305,Small
600959.SH,0.11477142857142858,35,306,Small
600737.SH,0.11422222222222222,18,307,Small
002558.SZ,0.11370967741935484,31,308,Small
600376.SH,0.11286666666666667,30,309,Small
000656.SZ,0.11285714285714286,7,310,Small
600827.SH,0.11168965517241379,29,311,Small
002624.SZ,0.11144,25,312,Small
600008.SH,0.11128571428571428,35,313,Small
600037.SH,0.1111111111111111,18,314,Small
002152.SZ,0.11094444444444444,18,315,Small
600926.SH,0.11016129032258065,31,316,Small
000999.SZ,0.10963636363636363,11,317,Small
000961.SZ,0.10951612903225806,31,318,Small
000738.SZ,0.10920689655172414,29,319,Small
000061.SZ,0.10894117647058824,17,320,Small
601718.SH,0.10882857142857143,35,321,Small
000581.SZ,0.10880000000000001,5,322,Small
000596.SZ,0.10828571428571429,7,323,Small
600760.SH,0.10815384615384614,13,324,Small
600038.SH,0.10804166666666666,48,325,Small
600074.SH,0.107875,24,326,Small
600863.SH,0.10781818181818181,11,327,Small
002195.SZ,0.10765217391304348,23,328,Small
600666.SH,0.10741666666666667,12,329,Small
002602.SZ,0.10738709677419356,31,330,Small
300182.SZ,0.10733333333333334,6,331,Small
601699.SH,0.1072,5,332,Small
603000.SH,0.10688235294117647,17,333,Small
601872.SH,0.10668965517241379,29,334,Small
600373.SH,0.10654285714285715,35,335,Small
000800.SZ,0.1063529411764706,17,336,Small
600549.SH,0.10569696969696969,33,337,Small
000883.SZ,0.10536363636363637,11,338,Small
600633.SH,0.10500000000000001,5,339,Small
002916.SZ,0.105,1,340,Small
000712.SZ,0.10464705882352941,17,341,Small
600166.SH,0.1044,5,342,Small
002294.SZ,0.10433333333333333,36,343,Small
300296.SZ,0.10433333333333333,12,344,Small
000415.SZ,0.10339583333333334,48,345,Small
000400.SZ,0.1032,5,346,Small
601991.SH,0.10306896551724137,29,347,Small
600704.SH,0.10273809523809525,42,348,Small
601021.SH,0.10208333333333335,48,349,Small
000008.SZ,0.10183333333333333,18,350,Small
002353.SZ,0.1014,5,351,Small
002797.SZ,0.10003333333333334,30,352,Small
603833.SH,0.09948,25,353,Small
000627.SZ,0.0994054054054054,37,354,Small
300146.SZ,0.09929411764705882,17,355,Small
600021.SH,0.09844827586206896,29,356,Small
601108.SH,0.09826315789473684,19,357,Small
600977.SH,0.0981290322580645,31,358,Small
600600.SH,0.096,11,359,Small
300133.SZ,0.09591304347826086,23,360,Small
000671.SZ,0.09529729729729729,37,361,Small
601238.SH,0.09504166666666668,24,362,Small
002375.SZ,0.09459999999999999,5,363,Small
002032.SZ,0.09453846153846154,13,364,Small
000825.SZ,0.0930909090909091,11,365,Small
002555.SZ,0.0929032258064516,31,366,Small
600717.SH,0.0928,5,367,Small
601881.SH,0.09251612903225806,31,368,Small
601898.SH,0.09191666666666667,36,369,Small
601928.SH,0.09176470588235294,17,370,Small
000027.SZ,0.0911764705882353,17,371,Small
000898.SZ,0.09036111111111111,36,372,Small
002174.SZ,0.0895,18,373,Small
600909.SH,0.08912500000000001,24,374,Small
002607.SZ,0.088,1,375,Small
600655.SH,0.088,1,376,Small
600582.SH,0.08775,12,377,Small
002131.SZ,0.08716666666666667,12,378,Small
002153.SZ,0.0868125,48,379,Small
600566.SH,0.08453846153846153,13,380,Small
600372.SH,0.08447916666666666,48,381,Small
300251.SZ,0.08423404255319149,47,382,Small
601360.SH,0.0838421052631579,19,383,Small
000718.SZ,0.08374999999999999,12,384,Small
300413.SZ,0.08342857142857142,7,385,Small
600685.SH,0.08258333333333333,24,386,Small
000938.SZ,0.08154054054054054,37,387,Small
603858.SH,0.08136666666666666,30,388,Small
600648.SH,0.08123529411764706,17,389,Small
600317.SH,0.081,11,390,Small
601118.SH,0.08051724137931035,29,391,Small
002601.SZ,0.07988,25,392,Small
002938.SZ,0.07957142857142858,7,393,Small
002399.SZ,0.07836363636363636,11,394,Small
600098.SH,0.07716666666666666,6,395,Small
600783.SH,0.077,17,396,Small
002010.SZ,0.07685714285714286,7,397,Small
601066.SH,0.0766923076923077,13,398,Small
000156.SZ,0.07647826086956522,23,399,Small
603160.SH,0.07551612903225806,31,400,Small
002411.SZ,0.07548387096774194,31,401,Small
600578.SH,0.07545454545454545,11,402,Small
601608.SH,0.07475862068965518,29,403,Small
002424.SZ,0.0745,24,404,Small
002299.SZ,0.07433333333333332,12,405,Small
000959.SZ,0.07354166666666667,24,406,Small
601958.SH,0.07311428571428571,35,407,Small
600848.SH,0.071,1,408,Small
000937.SZ,0.0706,5,409,Small
601319.SH,0.07057142857142858,7,410,Small
601878.SH,0.06996000000000001,25,411,Small
600998.SH,0.06908333333333333,24,412,Small
300085.SZ,0.06841666666666667,12,413,Small
002120.SZ,0.06838461538461539,13,414,Small
601808.SH,0.06813333333333334,30,415,Small
603156.SH,0.06676923076923078,13,416,Small
300433.SZ,0.06652631578947368,19,417,Small
601838.SH,0.06573684210526315,19,418,Small
601611.SH,0.06526666666666667,30,419,Small
601228.SH,0.06475,24,420,Small
002773.SZ,0.06376923076923077,13,421,Small
600339.SH,0.063,18,422,Small
600188.SH,0.061875000000000006,48,423,Small
000539.SZ,0.060399999999999995,5,424,Small
600871.SH,0.05991666666666667,24,425,Small
000723.SZ,0.058692307692307696,13,426,Small
601966.SH,0.058249999999999996,12,427,Small
600025.SH,0.0581578947368421,19,428,Small
002468.SZ,0.05776,25,429,Small
600989.SH,0.056,1,430,Small
601375.SH,0.05425,12,431,Small
000555.SZ,0.050583333333333334,12,432,Small
000408.SZ,0.049916666666666665,12,433,Small
601158.SH,0.0494,5,434,Small
603885.SH,0.04911764705882353,17,435,Small
601236.SH,0.049,1,436,Small
600754.SH,0.048499999999999995,6,437,Small
600022.SH,0.04666666666666667,6,438,Small
601163.SH,0.045500000000000006,12,439,Small
600233.SH,0.04545161290322581,31,440,Small
002608.SZ,0.04416666666666667,12,441,Small
001965.SZ,0.044000000000000004,12,442,Small
600350.SH,0.04359999999999999,5,443,Small
600968.SH,0.043,1,444,Small
002925.SZ,0.042055555555555554,18,445,Small
002568.SZ,0.041,12,446,Small
601127.SH,0.03925,12,447,Small
601231.SH,0.0382,5,448,Small
002939.SZ,0.038142857142857145,7,449,Small
002625.SZ,0.03783333333333334,18,450,Small
600390.SH,0.037399999999999996,25,451,Small
601828.SH,0.037000000000000005,19,452,Small
603260.SH,0.03647368421052631,19,453,Small
002945.SZ,0.033,7,454,Small
601698.SH,0.033,1,455,Small
601162.SH,0.032999999999999995,7,456,Small
601577.SH,0.03257142857142857,7,457,Small
601212.SH,0.03196,25,458,Small
002841.SZ,0.030000000000000002,13,459,Small
000553.SZ,0.02975,12,460,Small
002958.SZ,0.029,1,461,Small
601298.SH,0.02842857142857143,7,462,Small
601969.SH,0.028199999999999996,5,463,Small
600928.SH,0.028,1,464,Small
600733.SH,0.027714285714285716,7,465,Small
600299.SH,0.024714285714285716,7,466,Small
002831.SZ,0.024000000000000004,12,467,Small
601016.SH,0.023363636363636364,11,468,Small
002839.SZ,0.020666666666666667,12,469,Small
